CustomerID,FirstName,LastName,Email,Phone,Age,YearsActive,NumChildren,VIP,EstimatedAnnualSpend
17850.0,Rowan,White,rowan.white0.0@mail.test,+6-642-419-1833,56,11,2,No,5352.29
13047.0,Casey,Johnson,casey.johnson7.0@sample.net,+5-208-357-5102,20,2,1,No,1554.88
12583.0,Morgan,Harris,morgan.harris3.0@sample.net,+1-877-772-1298,34,7,2,No,3396.24
13748.0,Casey,Harris,casey.harris8.0@demo.org,+5-854-311-7228,56,5,4,No,1243.36
15100.0,Riley,Thompson,riley.thompson0.0@mail.test,+2-818-901-1646,42,1,3,No,661.39
15291.0,Parker,Lee,parker.lee1.0@mail.test,+6-721-951-3764,51,1,2,No,1098.77
14688.0,Avery,Thompson,avery.thompson8.0@demo.org,+6-126-256-9972,60,11,4,No,1095.6
17809.0,Reese,Taylor,reese.taylor9.0@example.com,+6-916-787-2956,75,12,0,No,767.4
15311.0,Quinn,Martin,quinn.martin1.0@example.com,+3-466-887-6548,34,3,0,No,3162.87
14527.0,Reese,Hall,reese.hall7.0@no-reply.io,+1-181-558-9593,36,8,0,No,2645.02
16098.0,Rowan,Hall,rowan.hall8.0@sample.net,+6-680-539-9540,68,5,4,No,1544.0
18074.0,Chris,Taylor,chris.taylor4.0@example.com,+3-509-696-1866,33,1,2,No,2344.61
17420.0,Drew,Allen,drew.allen0.0@example.com,+2-852-190-1547,49,11,4,No,5167.36
16029.0,Alex,Martin,alex.martin9.0@sample.net,+4-884-377-7819,57,1,4,No,1642.93
16250.0,Rowan,Martin,rowan.martin0.0@sample.net,+2-646-741-3164,56,3,2,No,2533.37
12431.0,Elliot,Martin,elliot.martin1.0@no-reply.io,+6-226-289-3704,25,12,3,No,3150.92
17511.0,Chris,Smith,chris.smith1.0@demo.org,+6-666-774-7591,23,8,2,No,4555.73
17548.0,Elliot,Lewis,elliot.lewis8.0@no-reply.io,+2-421-397-7158,22,9,3,No,2873.96
13705.0,Quinn,Johnson,quinn.johnson5.0@mail.test,+6-138-535-8073,80,6,2,Yes,2853.56
13747.0,Cameron,Walker,cameron.walker7.0@mail.test,+2-391-531-1611,27,2,3,No,1500.96
13408.0,Sam,Lee,sam.lee8.0@sample.net,+9-372-845-8755,76,1,4,No,2226.71
13767.0,Jamie,Smith,jamie.smith7.0@example.com,+3-235-640-7818,67,6,4,No,2764.3
17924.0,Morgan,Thomas,morgan.thomas4.0@example.com,+6-888-716-5253,57,9,4,No,5194.97
13448.0,Sam,Lewis,sam.lewis8.0@example.com,+2-107-959-2484,74,6,1,No,1328.97
15862.0,Chris,Hall,chris.hall2.0@demo.org,+8-760-726-2213,46,8,4,No,527.73
15513.0,Chris,Thomas,chris.thomas3.0@sample.net,+2-414-948-8334,22,6,1,No,2387.86
12791.0,Elliot,Taylor,elliot.taylor1.0@mail.test,+6-696-998-7176,53,10,4,No,4791.11
16218.0,Casey,Martin,casey.martin8.0@mail.test,+3-638-642-3206,18,3,4,No,1216.01
14045.0,Avery,Lewis,avery.lewis5.0@no-reply.io,+7-708-594-8904,53,1,0,No,1340.0
14307.0,Logan,Allen,logan.allen7.0@no-reply.io,+4-844-443-8382,43,4,1,No,3122.97
17908.0,Parker,Allen,parker.allen8.0@example.com,+6-539-330-7940,68,5,3,Yes,3668.17
17920.0,Riley,Martin,riley.martin0.0@mail.test,+8-113-820-1880,69,2,2,No,1412.68
12838.0,Logan,Brown,logan.brown8.0@example.com,+4-362-719-6537,42,10,2,No,4727.08
13255.0,Rowan,Walker,rowan.walker5.0@no-reply.io,+1-313-134-5566,63,3,3,No,1641.61
16583.0,Rowan,Lewis,rowan.lewis3.0@mail.test,+3-855-898-9029,47,6,3,No,781.14
18085.0,Rowan,Allen,rowan.allen5.0@mail.test,+6-776-288-1456,53,4,0,No,464.88
13758.0,Sam,Taylor,sam.taylor8.0@no-reply.io,+6-534-280-1022,42,10,2,No,1809.11
13694.0,Quinn,Thompson,quinn.thompson4.0@no-reply.io,+5-367-432-8243,42,4,0,No,819.52
15983.0,Hayden,Lee,hayden.lee3.0@demo.org,+5-185-605-1308,72,10,2,No,4881.35
14849.0,Logan,Hall,logan.hall9.0@demo.org,+1-648-400-4715,69,6,0,No,2509.22
17968.0,Drew,Lewis,drew.lewis8.0@sample.net,+4-363-985-4378,44,9,3,No,1566.15
16210.0,Morgan,Clark,morgan.clark0.0@mail.test,+7-459-971-2747,35,8,3,No,3527.0
17897.0,Morgan,White,morgan.white7.0@demo.org,+4-475-230-4850,52,6,0,No,1409.59
17377.0,Alex,Lee,alex.lee7.0@no-reply.io,+4-819-878-4311,57,7,4,No,1453.75
16552.0,Sam,Johnson,sam.johnson2.0@sample.net,+4-223-377-2587,50,2,0,No,2678.48
17181.0,Casey,Clark,casey.clark1.0@example.com,+8-466-431-9092,27,1,4,No,1059.86
17951.0,Parker,Harris,parker.harris1.0@example.com,+5-165-790-6924,38,12,3,No,3323.04
14729.0,Elliot,Garcia,elliot.garcia9.0@demo.org,+3-547-498-8779,71,5,4,No,2929.73
12748.0,Jamie,Taylor,jamie.taylor8.0@example.com,+5-541-300-6962,35,1,0,No,864.78
15012.0,Jordan,Anderson,jordan.anderson2.0@demo.org,+9-133-924-2371,79,2,2,No,2740.89
12868.0,Hayden,Jackson,hayden.jackson8.0@sample.net,+1-897-591-4256,20,4,1,No,1623.36
17572.0,Riley,Thomas,riley.thomas2.0@mail.test,+9-393-681-8109,36,11,1,No,3925.53
14078.0,Cameron,Smith,cameron.smith8.0@no-reply.io,+5-101-149-6532,21,7,1,No,4310.86
14001.0,Alex,Thomas,alex.thomas1.0@no-reply.io,+8-898-467-8222,34,10,2,Yes,5053.21
12662.0,Cameron,Taylor,cameron.taylor2.0@sample.net,+3-224-727-9065,66,11,1,Yes,921.15
15525.0,Avery,Young,avery.young5.0@example.com,+9-280-761-8338,56,8,2,No,1737.58
14237.0,Avery,Smith,avery.smith7.0@sample.net,+2-782-327-9619,68,1,3,No,1692.16
17905.0,Blake,Smith,blake.smith5.0@demo.org,+2-394-874-2851,46,4,2,No,1593.54
15485.0,Elliot,Thompson,elliot.thompson5.0@mail.test,+1-872-353-9276,18,5,0,No,434.43
12433.0,Casey,Garcia,casey.garcia3.0@demo.org,+8-838-100-7623,71,3,1,No,3062.51
16955.0,Jamie,Young,jamie.young5.0@mail.test,+9-482-733-3038,49,8,4,No,2026.33
15350.0,Taylor,Thomas,taylor.thomas0.0@no-reply.io,+5-479-961-8167,54,11,2,No,657.95
15605.0,Avery,Martin,avery.martin5.0@mail.test,+6-837-712-9690,52,5,4,No,983.96
18144.0,Riley,Lewis,riley.lewis4.0@mail.test,+1-300-497-5269,54,4,3,No,1715.36
15922.0,Sam,Garcia,sam.garcia2.0@demo.org,+6-380-559-1231,49,4,3,No,1344.22
14594.0,Sam,Allen,sam.allen4.0@example.com,+2-466-923-5307,73,5,3,No,3964.51
15165.0,Jordan,Brown,jordan.brown5.0@example.com,+6-566-542-1985,67,7,1,No,3237.75
14911.0,Chris,Hall,chris.hall1.0@sample.net,+2-433-270-7379,35,8,1,No,1161.89
16456.0,Quinn,Thompson,quinn.thompson6.0@demo.org,+3-133-733-9462,67,2,0,Yes,2262.94
17841.0,Casey,Lee,casey.lee1.0@example.com,+8-735-445-8186,66,10,1,No,5277.7
12472.0,Sam,King,sam.king2.0@no-reply.io,+2-725-658-7874,48,7,3,No,2135.24
17346.0,Quinn,Clark,quinn.clark6.0@example.com,+5-695-776-9159,30,10,0,No,5750.17
17643.0,Logan,Thomas,logan.thomas3.0@demo.org,+1-316-420-9987,22,11,3,No,6245.72
17873.0,Blake,Lee,blake.lee3.0@demo.org,+4-854-730-6183,20,4,3,No,1483.05
13093.0,Morgan,Smith,morgan.smith3.0@mail.test,+5-878-145-8214,32,8,3,No,2510.37
12921.0,Avery,King,avery.king1.0@demo.org,+3-194-795-6328,63,12,3,No,3206.62
13468.0,Logan,Harris,logan.harris8.0@demo.org,+1-137-327-5963,80,3,0,No,1566.26
17760.0,Taylor,Garcia,taylor.garcia0.0@demo.org,+4-758-698-5083,19,7,4,No,3147.83
16928.0,Cameron,Smith,cameron.smith8.0@mail.test,+8-826-230-3020,31,1,2,No,1269.33
16048.0,Avery,Anderson,avery.anderson8.0@demo.org,+5-922-963-1512,28,11,0,No,3590.82
16274.0,Elliot,Thomas,elliot.thomas4.0@demo.org,+6-580-469-5631,70,4,2,No,3078.2
14496.0,Rowan,Anderson,rowan.anderson6.0@demo.org,+1-789-145-9581,67,3,4,No,870.42
